,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
311,110/09/03,"8,668,300","363,923,823",42.00,42.70,41.55,41.65,-0.20,"4,054"
312,110/09/06,"5,420,506","227,378,801",41.65,42.40,41.50,41.80,+0.15,"3,009"
313,110/09/07,"4,311,466","180,842,968",41.80,42.50,41.60,41.95,+0.15,"2,517"
314,110/09/08,"7,800,590","321,203,607",41.75,42.20,40.75,40.75,-1.20,"4,322"
315,110/09/09,"5,086,700","210,708,231",40.75,41.90,40.60,41.80,+1.05,"2,727"
316,110/09/10,"5,919,202","250,717,457",42.00,42.70,41.90,42.25,+0.45,"2,898"
317,110/09/13,"10,043,750","435,598,511",42.00,44.00,42.00,43.75,+1.50,"5,369"
318,110/09/14,"11,062,817","484,159,395",43.90,44.15,43.00,43.80,+0.05,"5,405"
319,110/09/15,"6,682,504","289,314,276",43.65,43.90,42.80,43.45,-0.35,"3,525"
320,110/09/16,"5,594,788","242,562,794",43.50,43.75,42.90,43.35,-0.10,"3,221"
321,110/09/17,"5,402,534","232,540,978",43.35,43.85,42.75,42.80,-0.55,"2,553"
322,110/09/22,"10,971,947","446,510,492",41.45,41.45,40.20,40.25,-2.55,"5,804"
323,110/09/23,"5,241,142","211,425,867",40.55,40.85,40.00,40.45,+0.20,"2,865"
324,110/09/24,"2,985,068","121,895,931",40.60,41.15,40.30,41.05,+0.60,"1,817"
325,110/09/27,"3,620,423","148,738,682",41.05,41.55,40.85,41.00,-0.05,"1,816"
326,110/09/28,"3,115,506","127,823,627",40.80,41.30,40.70,41.25,+0.25,"1,832"
327,110/09/29,"5,106,775","207,566,955",40.60,41.10,40.50,40.50,-0.75,"2,840"
328,110/09/30,"4,332,781","177,193,317",40.50,41.20,40.45,41.10,+0.60,"1,995"
329,110/10/01,"7,235,666","291,911,202",41.10,41.10,39.80,40.20,-0.90,"3,334"
330,110/10/04,"7,842,460","307,171,528",40.20,40.45,38.25,38.45,-1.75,"3,852"
331,110/10/05,"5,604,631","216,153,284",38.25,39.35,37.75,39.30,+0.85,"2,544"
332,110/10/06,"3,138,967","123,001,104",39.30,39.65,38.95,39.10,-0.20,"1,694"
